"IPO
▲
▼",Company Link,"Status
▲
▼","Price
▲
▼","GMP
▲
▼","Est Listing
▲
▼","Fire Rating
▲
▼","IPO Size
▲
▼","Lot
▲
▼","Open
▲
▼","Close
▲
▼","BoA Dt
▲
▼","Listing
▲
▼","GMP Updated
▲
▼",,,,,,,,,,,,,
Tankup Engineers NSE SME,https://www.investorgain.com/gmp/tankup-engineers-sme-ipo/1236/,Upcoming,140,--,140 (0%),🔥,₹19.53 Cr,"1,000",23-Apr,25-Apr,28-Apr,30-Apr,20-Apr 12:00
Spinaroo Commercial BSE SME,https://www.investorgain.com/gmp/spinaroo-commercial-sme-ipo/1233/,L@52.85 (3.63%)	(Sub:1.52x),51,--,51 (0%),🔥,₹10.17 Cr,"2,000",28-Mar,3-Apr,4-Apr,8-Apr,8-Apr 9:34
Infonative Solutions BSE SME,https://www.investorgain.com/gmp/infonative-solutions-sme-ipo/1232/,L@63.20 (-20%)	(Sub:4.53x),79,--,79 (0%),🔥,₹24.71 Cr,"1,600",28-Mar,3-Apr,4-Apr,8-Apr,8-Apr 9:37
Retaggio Industries BSE SME,https://www.investorgain.com/gmp/retaggio-industries-sme-ipo/1231/,L@25.10 (0.4%)	(Sub:1.86x),25,--,25 (0%),🔥,₹15.50 Cr,"6,000",27-Mar,2-Apr,3-Apr,7-Apr,7-Apr 16:36
Identixweb BSE SME,https://www.investorgain.com/gmp/identixweb-sme-ipo/1230/,L@55 (1.85%)	(Sub:26.15x),54,4,58 (7.41%),🔥🔥,₹16.63 Cr,"2,000",26-Mar,28-Mar,1-Apr,3-Apr,3-Apr 9:34
ATC Energies NSE SME,https://www.investorgain.com/gmp/atc-energies-sme-ipo/1229/,L@107.00 (-9.32%)	(Sub:1.61x),118,4,122 (3.39%),🔥,₹63.76 Cr,"1,200",25-Mar,27-Mar,28-Mar,2-Apr,2-Apr 9:37
Shri Ahimsa Naturals NSE SME,https://www.investorgain.com/gmp/shri-ahimsa-naturals-sme-ipo/1228/,L@140.00 (17.65%)	(Sub:62.71x),119,19.5,138.5 (16.39%),🔥🔥🔥,₹73.81 Cr,"1,200",25-Mar,27-Mar,28-Mar,2-Apr,2-Apr 9:34
Desco Infratech BSE SME,https://www.investorgain.com/gmp/desco-infratech/1227/,L@160.00 (6.67%)	(Sub:83.75x),150,--,150 (0%),🔥,₹30.75 Cr,"1,000",24-Mar,26-Mar,27-Mar,1-Apr,1-Apr 9:32
Active Infrastructures NSE SME,https://www.investorgain.com/gmp/active-infrastructures-sme-ipo/1226/,L@181.00 (0%)	(Sub:1.05x),181,1,182 (0.55%),🔥,₹77.83 Cr,600,21-Mar,25-Mar,26-Mar,28-Mar,28-Mar 10:32
Rapid Fleet NSE SME,https://www.investorgain.com/gmp/rapid-fleet-sme-ipo/1225/,L@195.00 (1.56%)	(Sub:1.65x),192,--,192 (0%),🔥,₹43.87 Cr,600,21-Mar,25-Mar,26-Mar,28-Mar,28-Mar 10:36
Grand Continent Hotels NSE SME,https://www.investorgain.com/gmp/grand-continent-hotels-sme-ipo/1224/,L@112.90 (-0.09%)	(Sub:1.79x),113,1,114 (0.88%),🔥,₹74.46 Cr,"1,200",20-Mar,24-Mar,25-Mar,27-Mar,27-Mar 9:29
Divine Hira Jewellers NSE SME,https://www.investorgain.com/gmp/divine-hira-jewellers/1223/,L@90.00 (0%)	(Sub:3.93x),90,3,93 (3.33%),🔥,₹31.84 Cr,"1,600",17-Mar,19-Mar,20-Mar,24-Mar,24-Mar 9:34
Paradeep Parivahan BSE SME,https://www.investorgain.com/gmp/paradeep-parivahan-sme-ipo/1222/,L@78.40 (-20%)	(Sub:1.78x),98,--,98 (0%),🔥,₹44.86 Cr,"1,200",17-Mar,19-Mar,20-Mar,24-Mar,24-Mar 9:28
Super Iron Foundry BSE SME,https://www.investorgain.com/gmp/super-iron-foundry/1220/,L@107.95 (-0.05%)	(Sub:1.56x),108,3,111 (2.78%),🔥,₹68.05 Cr,"1,200",11-Mar,13-Mar,17-Mar,19-Mar,19-Mar 9:34
PDP Shipping & Projects BSE SME,https://www.investorgain.com/gmp/pdp-shipping-projects-sme-ipo/1221/,L@108.25 (-19.81%)	(Sub:1.01x),135,--,135 (0%),🔥,₹12.65 Cr,"1,000",10-Mar,12-Mar,13-Mar,18-Mar,18-Mar 9:35
NAPS Global India BSE SME,https://www.investorgain.com/gmp/naps-global-india-sme-ipo/1219/,L@108.00 (20%)	(Sub:1.19x),90,--,90 (0%),🔥,₹11.88 Cr,"1,600",4-Mar,6-Mar,7-Mar,11-Mar,11-Mar 9:29
Balaji Phosphates NSE SME,https://www.investorgain.com/gmp/balaji-phosphates-sme-ipo/1217/,L@75.00 (7.14%)	(Sub:1.21x),70,--,70 (0%),🔥,₹50.11 Cr,"2,000",28-Feb,4-Mar,5-Mar,7-Mar,7-Mar 9:30
Shreenath Paper BSE SME,https://www.investorgain.com/gmp/shreenath-paper-sme-ipo/1216/,L@35.20 (-20%)	(Sub:1.85x),44,--,44 (0%),🔥,₹23.36 Cr,"3,000",25-Feb,28-Feb,3-Mar,5-Mar,5-Mar 9:42
Nukleus Office Solutions BSE SME,https://www.investorgain.com/gmp/nukleus-office-solutions-sme-ipo/1215/,L@187.20 (-20%)	(Sub:1.29x),234,--,234 (0%),🔥,₹31.70 Cr,600,24-Feb,27-Feb,28-Feb,4-Mar,4-Mar 11:37
Beezaasan Explotech BSE SME,https://www.investorgain.com/gmp/beezaasan-explotech-sme-ipo/1212/,L@146.00 (-16.57%)	(Sub:5.43x),175,1,176 (0.57%),🔥,₹59.93 Cr,800,21-Feb,25-Feb,27-Feb,3-Mar,3-Mar 9:37
Swasth Foodtech BSE SME,https://www.investorgain.com/gmp/swasth-foodtech-sme-ipo/1214/,L@94.00 (0%)	(Sub:7.83x),94,--,94 (0%),🔥,₹14.92 Cr,"1,200",20-Feb,24-Feb,25-Feb,28-Feb,28-Feb 9:34
HP Telecom India NSE SME,https://www.investorgain.com/gmp/hp-telecom-india-sme-ipo/1213/,L@115.05 (6.53%)	(Sub:1.91x),108,--,108 (0%),🔥,₹34.23 Cr,"1,200",20-Feb,24-Feb,25-Feb,28-Feb,28-Feb 9:29
Tejas Cargo NSE SME,https://www.investorgain.com/gmp/tejas-cargo-sme-ipo/1211/,L@175.00 (4.17%)	(Sub:1.15x),168,--,168 (0%),🔥,₹105.84 Cr,800,14-Feb,18-Feb,19-Feb,24-Feb,24-Feb 9:37
Royalarc Electrodes NSE SME,https://www.investorgain.com/gmp/royalarc-electrodes-sme-ipo/1210/,L@120.00 (0%)	(Sub:1.6x),120,--,120 (0%),🔥,₹36.00 Cr,"1,200",14-Feb,18-Feb,19-Feb,24-Feb,24-Feb 9:40
Quality Power IPO,https://www.investorgain.com/gmp/quality-power-ipo/1209/,L@430.00 (1.18%)	(Sub:1.29x),425,5,430 (1.18%),🔥,₹858.70 Cr,26,14-Feb,18-Feb,19-Feb,24-Feb,24-Feb 9:34
L.K. Mehta Polymers BSE SME,https://www.investorgain.com/gmp/lk-mehta-polymers-sme-ipo/1208/,L@71.10 (0.14%)	(Sub:44.57x),71,5,76 (7.04%),🔥🔥,₹7.38 Cr,"1,600",13-Feb,17-Feb,18-Feb,21-Feb,21-Feb 9:28
Shanmuga Hospital BSE SME,https://www.investorgain.com/gmp/shanmuga-hospital-sme-ipo/1207/,L@54.00 (0%)	(Sub:2.51x),54,3,57 (5.56%),🔥🔥,₹20.62 Cr,"2,000",13-Feb,17-Feb,18-Feb,21-Feb,21-Feb 9:29
Hexaware Technologies IPO,https://www.investorgain.com/gmp/hexaware-technologies-ipo/1204/,L@745.50 (5.3%)	(Sub:2.05x),708,--,708 (0%),🔥,₹8750.00 Cr,21,12-Feb,14-Feb,17-Feb,19-Feb,19-Feb 9:36
Voler Car NSE SME,https://www.investorgain.com/gmp/voler-car-sme-ipo/1205/,L@90.00 (0%)	(Sub:13.62x),90,5,95 (5.56%),🔥🔥,₹27.00 Cr,"1,600",12-Feb,14-Feb,17-Feb,19-Feb,19-Feb 9:37
Maxvolt Energy NSE SME,https://www.investorgain.com/gmp/maxvolt-energy-sme-ipo/1206/,L@180.00 (0%)	(Sub:3.23x),180,--,180 (0%),🔥,₹54.00 Cr,800,12-Feb,14-Feb,17-Feb,19-Feb,19-Feb 9:28
PS Raj Steels NSE SME,https://www.investorgain.com/gmp/ps-raj-steels-sme-ipo/1203/,L@145.00 (3.57%)	(Sub:9.82x),140,3,143 (2.14%),🔥,₹28.28 Cr,"1,000",12-Feb,14-Feb,17-Feb,19-Feb,19-Feb 9:35
Chandan Healthcare NSE SME,https://www.investorgain.com/gmp/chandan-healthcare-sme-ipo/1201/,L@165.10 (3.84%)	(Sub:7.04x),159,--,159 (0%),🔥,₹107.36 Cr,800,10-Feb,12-Feb,13-Feb,17-Feb,17-Feb 9:31
Ajax Engineering IPO,https://www.investorgain.com/gmp/ajax-engineering-ipo/1202/,L@576.00 (-8.43%)	(Sub:6.06x),629,-3,626 (-0.48%),🔥,₹1269.35 Cr,23,10-Feb,12-Feb,13-Feb,17-Feb,17-Feb 9:34
Eleganz Interiors NSE SME,https://www.investorgain.com/gmp/eleganz-interiors-sme-ipo/1197/,L@122.00 (-6.15%)	(Sub:30.65x),130,5,135 (3.85%),🔥,₹78.07 Cr,"1,000",7-Feb,11-Feb,12-Feb,14-Feb,14-Feb 9:35
Solarium Green BSE SME,https://www.investorgain.com/gmp/solarium-green-sme-ipo/1200/,L@202.00 (5.76%)	(Sub:8.83x),191,5,196 (2.62%),🔥,₹105.04 Cr,600,6-Feb,10-Feb,11-Feb,13-Feb,13-Feb 9:35
Readymix Construction NSE SME,https://www.investorgain.com/gmp/readymix-construction-sme-ipo/1198/,L@123.00 (0%)	(Sub:4.61x),123,--,123 (0%),🔥,₹37.66 Cr,"1,000",6-Feb,10-Feb,11-Feb,13-Feb,13-Feb 9:35
Amwill Healthcare BSE SME,https://www.investorgain.com/gmp/amwill-healthcare-sme-ipo/1199/,L@88.85 (-19.95%)	(Sub:5.73x),111,--,111 (0%),🔥,₹59.98 Cr,"1,200",5-Feb,7-Feb,10-Feb,12-Feb,12-Feb 9:37
Ken Enterprises NSE SME,https://www.investorgain.com/gmp/ken-enterprises-sme-ipo/1196/,L@85.00 (-9.57%)	(Sub:4.36x),94,5,99 (5.32%),🔥🔥,₹83.65 Cr,"1,200",5-Feb,7-Feb,10-Feb,12-Feb,12-Feb 9:28
Chamunda Electricals NSE SME,https://www.investorgain.com/gmp/chamunda-electricals-sme-ipo/1195/,L@70.00 (40%)	(Sub:737.97x),50,20,70 (40%),🔥🔥🔥🔥,₹14.60 Cr,"3,000",4-Feb,6-Feb,7-Feb,11-Feb,11-Feb 9:29
Dr. Agarwal's IPO,https://www.investorgain.com/gmp/dr-agarwals-ipo/1194/,L@402 (0%)	(Sub:1.49x),402,-4,398 (-1%),🔥,₹3027.26 Cr,35,29-Jan,31-Jan,3-Feb,4-Feb,5-Feb 9:34
